epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.86199,2.66044,4.10575,1.74683,0,0,0,0,2.17881,4.0274,1.45087,3.334e-05,3.334e-05,3.334e-05
2,19.9718,2.47171,4.06796,1.57842,0.00041,0.00649,0.00024,2e-05,2.08232,3.99992,1.37839,8.16997e-05,8.16997e-05,8.16997e-05
3,29.994,2.30378,3.91895,1.45987,0,0,0,0,2.03576,3.90813,1.29571,0.000128079,0.000128079,0.000128079
4,40.0919,1.99948,3.70771,1.34745,0,0,0,0,2.07861,3.79126,1.25355,0.000172478,0.000172478,0.000172478
5,50.0138,1.95526,3.34536,1.29561,0.00059,0.00917,0.00038,0.00012,1.96704,3.67687,1.182,0.000214896,0.000214896,0.000214896
6,59.9274,1.86173,2.90281,1.19031,0.00177,0.02752,0.01483,0.00923,1.8121,3.57181,1.13475,0.000255334,0.000255334,0.000255334
7,69.9278,1.74949,2.52557,1.19022,0.01539,0.24771,0.1684,0.09224,1.79185,3.40604,1.1471,0.000293792,0.000293792,0.000293792
8,80.0477,1.82114,2.28974,1.16285,0.01696,0.27982,0.19764,0.10571,1.78836,3.31125,1.14732,0.000330269,0.000330269,0.000330269
9,90.1758,1.64126,2.12507,1.15477,0.01945,0.29358,0.20946,0.11248,1.70915,3.18667,1.13172,0.000364766,0.000364766,0.000364766
10,100.371,1.6633,1.90885,1.13702,0.02217,0.32491,0.21106,0.10942,1.67482,3.16099,1.12835,0.000397283,0.000397283,0.000397283
11,110.311,1.72052,1.98789,1.17788,0.0277,0.38639,0.22981,0.13967,1.63161,3.05862,1.128,0.000427819,0.000427819,0.000427819
12,120.74,1.72149,1.82243,1.12422,0.03039,0.41886,0.26442,0.15789,1.62848,2.96915,1.12227,0.000456375,0.000456375,0.000456375
13,130.626,1.62658,1.6456,1.09365,0.73431,0.07302,0.27542,0.15762,1.74459,2.80052,1.16248,0.00048295,0.00048295,0.00048295
14,140.896,1.58925,1.56712,1.10492,0.89217,0.10423,0.27163,0.15499,1.75635,2.78346,1.16981,0.000507545,0.000507545,0.000507545
15,151.07,1.67324,1.59127,1.10058,0.9738,0.08299,0.27766,0.15741,1.70993,2.75384,1.14778,0.000530159,0.000530159,0.000530159
16,160.941,1.69026,1.61493,1.13417,0.9537,0.15377,0.29492,0.16782,1.68481,2.75081,1.13816,0.000550793,0.000550793,0.000550793
17,170.927,1.56244,1.59804,1.12647,0.98093,0.1157,0.33743,0.18013,1.69637,2.69197,1.13191,0.000569447,0.000569447,0.000569447
18,181.008,1.45866,1.39519,1.10219,0.97781,0.15895,0.3474,0.17955,1.74884,2.63295,1.16412,0.000586121,0.000586121,0.000586121
19,190.969,1.54472,1.43582,1.07219,0.93924,0.17925,0.37607,0.19603,1.77146,2.50238,1.17361,0.000600813,0.000600813,0.000600813
20,200.964,1.48043,1.38468,1.11029,0.96123,0.2133,0.41333,0.22858,1.75417,2.43258,1.15393,0.000613526,0.000613526,0.000613526
21,210.986,1.47981,1.3961,1.10007,0.88965,0.22003,0.42803,0.24212,1.67607,2.3961,1.11144,0.000624258,0.000624258,0.000624258
22,221.291,1.52967,1.37403,1.09478,0.88423,0.22746,0.45857,0.25772,1.63658,2.34545,1.09156,0.00063301,0.00063301,0.00063301
23,231.643,1.4484,1.32469,1.06846,0.89247,0.2414,0.48275,0.26422,1.63572,2.29377,1.09568,0.000639781,0.000639781,0.000639781
24,241.754,1.49169,1.30068,1.08861,0.78327,0.26151,0.50484,0.27058,1.63103,2.18902,1.10224,0.000644572,0.000644572,0.000644572
25,252.001,1.49577,1.28185,1.07491,0.79734,0.34618,0.53434,0.28986,1.6222,2.013,1.09199,0.000647383,0.000647383,0.000647383
26,262.597,1.59978,1.3882,1.06272,0.80142,0.42033,0.5568,0.30254,1.60554,1.87133,1.07682,0.000648213,0.000648213,0.000648213
27,272.943,1.601,1.33692,1.04958,0.69561,0.42027,0.54229,0.30478,1.59782,1.77057,1.07214,0.000647063,0.000647063,0.000647063
28,283.232,1.53436,1.27223,1.04073,0.66084,0.46551,0.55527,0.31134,1.57881,1.69602,1.06921,0.000643932,0.000643932,0.000643932
29,293.719,1.44702,1.27661,1.07885,0.66084,0.46551,0.55527,0.31134,1.57881,1.69602,1.06921,0.000638821,0.000638821,0.000638821
30,303.894,1.38846,1.20264,1.04385,0.65274,0.48226,0.57211,0.32712,1.53965,1.64747,1.0653,0.00063173,0.00063173,0.00063173
31,314.483,1.45044,1.27949,1.03397,0.66332,0.5056,0.57288,0.33223,1.51984,1.64205,1.05846,0.000622658,0.000622658,0.000622658
32,324.98,1.48693,1.2037,1.02208,0.66908,0.5056,0.58119,0.33648,1.52163,1.67019,1.05573,0.000611606,0.000611606,0.000611606
33,335.339,1.39285,1.13512,1.03234,0.66908,0.5056,0.58119,0.33648,1.52163,1.67019,1.05573,0.000598573,0.000598573,0.000598573
34,345.609,1.38848,1.23933,1.0414,0.72173,0.52585,0.59619,0.33907,1.49874,1.70269,1.04992,0.000577782,0.000577782,0.000577782
35,355.794,1.42123,1.17399,1.02145,0.75604,0.50101,0.61081,0.35043,1.47145,1.73353,1.0389,0.000544776,0.000544776,0.000544776
36,365.991,1.38391,1.15283,1.02011,0.78798,0.48803,0.62042,0.35724,1.46575,1.74354,1.0379,0.000511769,0.000511769,0.000511769
37,376.035,1.36932,1.12912,1.03433,0.78798,0.48803,0.62042,0.35724,1.46575,1.74354,1.0379,0.000478762,0.000478762,0.000478762
38,385.976,1.33953,1.11443,1.01929,0.81105,0.48509,0.63139,0.36827,1.45313,1.71879,1.03687,0.000445756,0.000445756,0.000445756
